target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2179.76	18.6667	0.073782
Nep3-PB	2361	2179.76	18.6667	0.073782
Nep3-PC	2361	2179.76	18.6667	0.073782
CG9570-PA	633	451.911	0	0
Or19b-PA	1164	982.76	0	0
CG15322-PB	2223	2041.76	0	0
CG15322-PC	2223	2041.76	0	0
Or19a-PB	1164	982.76	0	0
karr-PA	294	127.054	0	0
fd19B-PA	783	601.76	0	0
CG17003-PA	864	682.76	0	0
CG12655-PA	468	287.817	0	0
CG33217-PA	2100	1918.76	651	2.92316
Vps11-PA	2493	2311.76	431	1.6063
RpL10-PC	657	475.865	13548.3	245.298
RpL10-PD	657	475.865	13548.3	245.298
RpL10-PE	657	475.865	13548.3	245.298
G9a-PA	4914	4732.76	283.877	0.516783
G9a-PB	4974	4792.76	27.1232	0.0487583
cin-PB	1806	1624.76	221	1.17191
cin-PA	1806	1624.76	221	1.17191
CG3777-PB	2640	2458.76	9.2	0.0322377
CG3777-PA	2640	2458.76	9.2	0.0322377
CG3777-PC	2640	2458.76	9.2	0.0322377
CG3777-PD	2640	2458.76	9.2	0.0322377
CG3777-PE	2640	2458.76	9.2	0.0322377
CG12470-PA	588	407.088	3	0.0634929
Or1a-PA	1179	997.76	0	0
y-PA	1626	1444.76	0	0
ac-PA	606	425.088	0	0
sc-PA	1038	856.76	0	0
l(1)sc-PA	774	592.76	0	0
ase-PA	1461	1279.76	0	0
CG13373-PA	375	197.991	0	0
CG13373-PB	534	353.315	95	2.31661
CG32817-PA	366	189.777	5.04255	0.228928
CG32817-PC	366	189.777	5.04255	0.228928
CG32817-PB	366	189.777	5.04255	0.228928
CG3176-PA	366	189.777	31.9362	1.44988
CG3176-PB	306	137.125	0	0
CG3176-PC	306	137.125	0	0
CG3176-PD	366	189.777	31.9362	1.44988
CG3156-PA	2079	1897.76	63	0.286017
CG17778-PA	384	206.56	0	0
CG17778-PB	384	206.56	0	0
arg-PA	1056	874.76	5	0.0492463
CG17896-PB	1563	1381.76	1741.76	10.8605
CG17896-PA	1536	1354.76	94.2417	0.59934
CG18273-PA	4134	3952.76	763	1.66309
Cyp4g1-PA	1671	1489.76	0	0
Pgcl-PA	1224	1042.76	0	0
CG32816-PB	1137	955.76	167	1.50543
CG32816-PA	1137	955.76	167	1.50543
CG32816-PC	882	700.76	0	0
CG32816-PD	882	700.76	0	0
CG32816-PE	1137	955.76	167	1.50543
CG32816-PF	1137	955.76	167	1.50543
CG13375-PA	921	739.76	3	0.03494
CG13375-PB	921	739.76	3	0.03494
CG13375-PC	834	652.76	0	0
CG3038-PB	1077	895.76	18.0171	0.173295
CG3038-PA	1167	985.76	0	0
CG3038-PC	1080	898.76	2.98291	0.0285949
Appl-PA	2664	2482.76	0	0
Appl-PB	2673	2491.76	9.84623	0.0340452
Appl-PC	2493	2311.76	28.0982	0.10472
Appl-PD	2667	2485.76	39.1185	0.135586
Appl-PE	2652	2470.76	0	0
Appl-PF	2667	2485.76	38.9371	0.134957
CG13369-PA	915	733.76	1638	19.2332
CG17829-PA	1404	1222.76	123.681	0.871474
CG17829-PC	1347	1165.76	9.63795	0.0712309
CG17829-PB	1404	1222.76	123.681	0.871474
Mybbp1A-PA	3402	3220.76	317	0.847995
su(sable)-PA	3978	3796.76	1232.58	2.79702
su(sable)-PB	3966	3784.76	95.835	0.218162
su(sable)-PC	3978	3796.76	1232.58	2.79702
CG13367-PA	1227	1045.76	277	2.28213
Roc1a-PC	411	231.991	3.12143	0.115924
Roc1a-PA	327	154.903	642.939	35.7605
Roc1a-PD	327	154.903	642.939	35.7605
CG5254-PA	921	739.76	202	2.35263
CG5254-PB	714	532.815	0	0
CG5273-PA	1410	1228.76	21	0.147246
CG5273-PC	1410	1228.76	21	0.147246
CG5273-PB	1410	1228.76	21	0.147246
fz3-PA	1746	1564.76	623.102	3.43087
fz3-PB	1941	1759.76	72.7962	0.356408
fz3-PC	1746	1564.76	623.102	3.43087
CG16989-PC	3138	2956.76	821	2.39232
CG16989-PD	3138	2956.76	821	2.39232
CG14635-PA	360	184.253	0	0
CG13358-PD	906	724.76	0	0
CG13359-PA	1482	1300.76	169	1.11939
Rbf-PA	2538	2356.76	421	1.53907
CG13360-PA	1266	1084.76	10	0.0794253
RpL22-PA	900	718.76	20042.9	240.253
CG13361-PA	1437	1255.76	44	0.301883
CG13362-PA	969	787.76	488	5.33726
Hmt4-20-PA	3903	3721.76	483.5	1.11928
Hmt4-20-PB	3903	3721.76	483.5	1.11928
RpL36-PA	348	173.591	2668.2	132.43
RpL36-PB	348	173.591	2668.2	132.43
RpL36-PD	348	173.591	2668.2	132.43
RpL36-PC	348	173.591	2668.2	132.43
RpL36-PE	348	173.591	2668.2	132.43
CG13364-PA	195	55.3286	1359	211.623
CG13365-PA	345	170.803	155	7.81858
spdi-PA	2853	2671.76	0	0
spdi-PB	3285	3103.76	274.633	0.762356
spdi-PC	3285	3103.76	274.633	0.762356
spdi-PD	2850	2668.76	22.6339	0.0730707
spdi-PE	2853	2671.76	0	0
spdi-PF	3285	3103.76	274.633	0.762356
spdi-PG	2829	2647.76	86.466	0.281358
CG14634-PB	282	117.091	0	0
CG11664-PA	765	583.76	3002	44.3067
CG11663-PA	459	278.93	0	0
CG11663-PB	459	278.93	0	0
MED22-PA	432	252.653	120	4.09213
CG32815-PC	1149	967.76	14.5	0.12909
CG32815-PD	1149	967.76	14.5	0.12909
TRAM-PB	1107	925.76	1100.4	10.2411
TRAM-PA	1107	925.76	1100.4	10.2411
TRAM-PC	1107	925.76	1100.4	10.2411
TRAM-PD	1107	925.76	1100.4	10.2411
TRAM-PE	1107	925.76	1100.4	10.2411
mus81-PA	1281	1099.76	30	0.235026
CG18823-PA	321	149.972	0	0
CG14631-PA	399	220.763	0	0
CG3021-PA	1170	988.76	625	5.44605
CG14629-PA	960	778.76	10	0.110634
CG14628-PA	426	246.678	0	0
CG3655-PA	1692	1510.76	6.2466	0.0356238
CG3655-PB	1692	1510.76	6.2466	0.0356238
CG3655-PC	1791	1609.76	16.2602	0.0870277
CG3655-PD	1692	1510.76	6.2466	0.0356238
Cdc45-PA	1728	1546.76	173	0.963642
CG11638-PA	1164	982.76	7	0.0613682
TfIIA-S-2-PA	324	152.432	1	0.0565218
CG3690-PA	1677	1495.76	1	0.00576011
CG3690-PB	1677	1495.76	1	0.00576011
CG3699-PA	756	574.76	0	0
CG3703-PA	2136	1954.76	33	0.14545
CG3704-PA	1149	967.76	351	3.12487
CG3706-PA	1335	1153.76	0	0
CG3708-PB	1089	907.76	2	0.0189824
CG3713-PA	252	94.0629	0.5	0.0457977
CG3713-PB	252	94.0629	0.5	0.0457977
CG32814-PB	735	553.815	0	0
CG11378-PA	939	757.76	1.33333	0.01516
CG11378-PB	939	757.76	1.33333	0.01516
CG11378-PC	939	757.76	1.33333	0.01516
CG11379-PA	606	425.088	0	0
CG11379-PB	606	425.088	0	0
CG14627-PA	813	631.76	1	0.0136377
CG14627-PB	813	631.76	1	0.0136377
CG14626-PA	1029	847.76	1	0.0101629
CG11380-PA	1710	1528.76	0.5	0.00281789
CG11380-PB	1710	1528.76	0.5	0.00281789
CG14625-PB	2271	2089.76	2	0.00824567
CG11381-PA	1311	1129.76	0	0
CG14624-PA	693	511.815	0	0
CG11382-PB	1518	1336.76	0	0
CG11382-PC	1518	1336.76	0	0
CG32812-PA	678	496.865	4.5	0.0780309
CG32812-PB	678	496.865	4.5	0.0780309
fs(1)N-PA	6357	6175.76	1	0.00139509
Naa30A-PA	1134	952.76	399	3.60813
Naa30A-PD	1077	895.76	0	0
Tsp2A-PA	735	553.815	4.5	0.0700068
Tsp2A-PB	735	553.815	4.5	0.0700068
CG11417-PA	2316	2134.76	473	1.90899
