target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2221.23	6.66667	0.0276094
Nep3-PB	2361	2221.23	6.66667	0.0276094
Nep3-PC	2361	2221.23	6.66667	0.0276094
CG9570-PA	633	493.226	0	0
Or19b-PA	1164	1024.23	0	0
CG15322-PB	2223	2083.23	0	0
CG15322-PC	2223	2083.23	0	0
Or19a-PB	1164	1024.23	0	0
karr-PA	294	156.162	0	0
fd19B-PA	783	643.226	0	0
CG17003-PA	864	724.226	0	0
CG12655-PA	468	328.226	0	0
CG33217-PA	2100	1960.23	570	2.67491
Vps11-PA	2493	2353.23	788	3.08037
RpL10-PC	657	517.226	4564.67	81.1839
RpL10-PD	657	517.226	4564.67	81.1839
RpL10-PE	657	517.226	4564.67	81.1839
G9a-PA	4914	4774.23	280	0.539506
G9a-PB	4974	4834.23	0	0
cin-PB	1806	1666.23	290.5	1.60381
cin-PA	1806	1666.23	290.5	1.60381
CG3777-PB	2640	2500.23	6	0.0220756
CG3777-PA	2640	2500.23	6	0.0220756
CG3777-PC	2640	2500.23	6	0.0220756
CG3777-PD	2640	2500.23	6	0.0220756
CG3777-PE	2640	2500.23	6	0.0220756
CG12470-PA	588	448.226	0	0
Or1a-PA	1179	1039.23	2	0.0177036
y-PA	1626	1486.23	0	0
ac-PA	606	466.226	0	0
sc-PA	1038	898.226	0	0
l(1)sc-PA	774	634.226	0	0
ase-PA	1461	1321.23	0	0
CG13373-PA	375	235.632	0	0
CG13373-PB	534	394.226	24	0.560024
CG32817-PA	366	226.656	0	0
CG32817-PC	366	226.656	0	0
CG32817-PB	366	226.656	0	0
CG3176-PA	366	226.656	4.7296	0.191955
CG3176-PB	306	167.884	0.770404	0.0422133
CG3176-PC	306	167.884	0.770404	0.0422133
CG3176-PD	366	226.656	4.7296	0.191955
CG3156-PA	2079	1939.23	26	0.123335
CG17778-PA	384	244.56	4	0.150458
CG17778-PB	384	244.56	4	0.150458
arg-PA	1056	916.226	1	0.0100401
CG17896-PB	1563	1423.23	254	1.64173
CG17896-PA	1536	1396.23	0	0
CG18273-PA	4134	3994.23	325	0.7485
Cyp4g1-PA	1671	1531.23	0	0
Pgcl-PA	1224	1084.23	0	0
CG32816-PB	1137	997.226	903.5	8.33442
CG32816-PA	1137	997.226	903.5	8.33442
CG32816-PC	882	742.226	0	0
CG32816-PD	882	742.226	0	0
CG32816-PE	1137	997.226	903.5	8.33442
CG32816-PF	1137	997.226	903.5	8.33442
CG13375-PA	921	781.226	0	0
CG13375-PB	921	781.226	0	0
CG13375-PC	834	694.226	2	0.0265015
CG3038-PB	1077	937.226	11.85	0.116309
CG3038-PA	1167	1027.23	12.15	0.108806
CG3038-PC	1080	940.226	0	0
Appl-PA	2664	2524.23	0	0
Appl-PB	2673	2533.23	0	0
Appl-PC	2493	2353.23	2	0.00781821
Appl-PD	2667	2527.23	0	0
Appl-PE	2652	2512.23	0	0
Appl-PF	2667	2527.23	0	0
CG13369-PA	915	775.226	119	1.41208
CG17829-PA	1404	1264.23	0	0
CG17829-PC	1347	1207.23	15	0.114299
CG17829-PB	1404	1264.23	0	0
Mybbp1A-PA	3402	3262.23	166	0.468096
su(sable)-PA	3978	3838.23	194.5	0.466155
su(sable)-PB	3966	3826.23	0	0
su(sable)-PC	3978	3838.23	194.5	0.466155
CG13367-PA	1227	1087.23	35	0.296135
Roc1a-PC	411	271.379	2.67728	0.0907525
Roc1a-PA	327	188.215	201.661	9.85619
Roc1a-PD	327	188.215	201.661	9.85619
CG5254-PA	921	781.226	7.54808	0.0888793
CG5254-PB	714	574.226	0.451924	0.00723974
CG5273-PA	1410	1270.23	4	0.0289681
CG5273-PC	1410	1270.23	4	0.0289681
CG5273-PB	1410	1270.23	4	0.0289681
fz3-PA	1746	1606.23	56.5412	0.323817
fz3-PB	1941	1801.23	42.9176	0.219184
fz3-PC	1746	1606.23	56.5412	0.323817
CG16989-PC	3138	2998.23	32.5	0.0997149
CG16989-PD	3138	2998.23	32.5	0.0997149
CG14635-PA	360	220.723	0	0
CG13358-PD	906	766.226	0	0
CG13359-PA	1482	1342.23	0	0
Rbf-PA	2538	2398.23	61	0.233981
CG13360-PA	1266	1126.23	2	0.016336
