target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2218.5	9	0.0538577
Nep3-PB	2361	2218.5	9	0.0538577
Nep3-PC	2361	2218.5	9	0.0538577
CG9570-PA	633	490.497	55	1.48864
Or19b-PA	1164	1021.5	0	0
CG15322-PB	2223	2080.5	2	0.0127623
CG15322-PC	2223	2080.5	2	0.0127623
Or19a-PB	1164	1021.5	0	0
karr-PA	294	156.283	5	0.424739
fd19B-PA	783	640.497	0	0
CG17003-PA	864	721.497	22	0.404811
CG12655-PA	468	325.6	3	0.122321
CG33217-PA	2100	1957.5	36	0.244155
Vps11-PA	2493	2350.5	91	0.51398
RpL10-PC	657	514.497	2140	55.2198
RpL10-PD	657	514.497	2140	55.2198
RpL10-PE	657	514.497	2140	55.2198
G9a-PA	4914	4771.5	177	0.492474
G9a-PB	4974	4831.5	0	0
cin-PB	1806	1663.5	132	1.05346
cin-PA	1806	1663.5	132	1.05346
CG3777-PB	2640	2497.5	8.6	0.0457149
CG3777-PA	2640	2497.5	8.6	0.0457149
CG3777-PC	2640	2497.5	8.6	0.0457149
CG3777-PD	2640	2497.5	8.6	0.0457149
CG3777-PE	2640	2497.5	8.6	0.0457149
CG12470-PA	588	445.497	93	2.77142
Or1a-PA	1179	1036.5	1	0.0128084
y-PA	1626	1483.5	0	0
ac-PA	606	463.497	0	0
sc-PA	1038	895.497	0	0
l(1)sc-PA	774	631.497	0	0
ase-PA	1461	1318.5	0	0
CG13373-PA	375	233.852	0	0
CG13373-PB	534	391.497	24	0.813855
CG32817-PA	366	225.037	5.76858	0.340314
CG32817-PC	366	225.037	5.76858	0.340314
CG32817-PB	366	225.037	5.76858	0.340314
CG3176-PA	366	225.037	36.1037	2.12992
CG3176-PB	306	167.528	14.2434	1.12873
CG3176-PC	306	167.528	14.2434	1.12873
CG3176-PD	366	225.037	36.1037	2.12992
CG3156-PA	2079	1936.5	47	0.322215
CG17778-PA	384	242.709	0	0
CG17778-PB	384	242.709	0	0
