FBgn	Female_Fat_Body	Male_Fat_Body	Female_Eye	Male_Eye	Female_Salivary_Gland	Male_Salivary_Gland	Male_Brain	Female_Mated_Spermatheca	Female_Virgin_Spermatheca	Female_Crop	Male_Crop	Female_Thoracicoabdominal_Ganglion	Male_Thoracicoabdominal_Ganglion	Female_Brain	Male_Accessory_Glands	Male_Anal_Pad	Female_Anal_Pad	FemaleCarcass	Female_Head	Female_Midgut	Female_Ovary	Female_Hindgut	Female_Tubule	Female_Whole	Male_Carcass	Male_Head	Male_Whole	Male_Hindgut	Male_Midgut	Male_Testis	Male_Tubule	Larval_Carcass	Larval_CNS	Larval_FatBody	Larval_Hindgut	Larval_Midgut	Larval_Salivary_Gland	Larval_Trachea	Larval_Tubule	Larval_Whole
FBgn0262275	0.00	0.07	0.04	0.01	0.00	0.06	0.05	0.00	0.00	0.00	0.01	0.04	0.10	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.04	0.12	0.00	0.00	0.53	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15
FBgn0263555	0.01	0.08	0.44	0.36	0.29	0.57	0.44	0.94	0.72	1.04	0.81	0.63	0.41	0.42	0.20	1.01	0.02	0.46	0.54	0.06	0.31	0.69	1.24	0.05	0.93	0.19	0.72	0.58	1.47	0.01	1.47	0.01	0.05	0.01	0.98	0.68	0.41	0.35	0.07	0.02
FBgn0046692	1.46	1.57	40.97	54.12	7.22	5.62	45.57	2.42	2.64	18.13	17.09	53.27	46.91	48.00	6.12	11.05	15.63	14.16	21.81	9.94	59.57	19.20	13.88	38.82	12.27	22.13	11.51	15.60	13.29	16.32	12.85	11.33	35.64	9.24	15.70	13.36	4.70	15.52	13.74	10.60
FBgn0036516	2.23	2.55	22.28	31.38	7.53	6.83	30.72	3.23	2.59	25.46	22.15	23.36	18.90	28.22	4.05	11.68	16.48	13.62	7.15	9.88	18.54	19.62	16.05	15.62	12.66	9.40	15.68	13.97	9.57	48.89	16.17	23.16	58.23	16.53	31.54	50.47	31.55	30.05	38.78	24.12
FBgn0038916	0.00	2.06	6.56	10.16	0.32	0.89	6.40	0.00	0.61	0.47	0.64	5.57	5.89	3.44	0.00	6.85	13.26	2.63	4.87	17.01	0.79	1.89	61.55	5.68	6.04	6.75	11.59	1.92	36.34	3.78	83.58	0.00	1.48	0.00	0.00	1.99	0.00	0.00	54.23	1.75
FBgn0052475	0.32	0.48	6.40	7.34	0.97	1.05	30.46	0.38	0.25	7.86	14.98	11.35	8.38	24.10	1.06	4.39	5.31	3.50	5.01	2.24	2.82	9.19	5.30	3.05	4.84	7.31	3.63	7.77	6.34	2.06	4.16	2.67	26.55	2.21	6.72	5.76	0.84	6.19	5.94	3.70
FBgn0003896	0.35	0.22	0.90	0.98	0.12	0.33	14.09	0.09	0.00	7.50	11.65	3.17	2.52	12.07	0.00	1.39	2.90	1.08	1.93	0.11	0.00	1.87	0.00	1.28	1.77	2.45	2.15	1.55	1.93	0.18	0.00	2.48	20.59	0.00	14.57	0.00	0.35	1.87	0.29	1.02
FBgn0267987	0.18	0.00	1.78	3.33	0.72	0.53	4.03	0.35	0.10	0.92	0.89	4.21	3.40	2.78	17.59	0.38	0.53	0.60	0.79	0.14	0.00	0.43	0.23	0.53	0.43	2.19	2.32	0.21	0.30	2.33	0.44	0.58	0.81	0.23	0.35	0.52	0.71	3.58	0.25	0.22
FBgn0039870	1.50	1.68	11.85	13.94	4.60	3.61	14.66	2.26	2.35	9.56	10.11	11.01	8.10	13.68	7.59	7.65	7.49	9.22	4.35	2.11	26.84	9.10	11.05	16.00	7.81	6.18	5.02	8.66	1.93	2.45	13.84	8.82	33.36	8.94	11.05	3.04	9.96	8.56	14.89	6.77
FBgn0031483	1.05	0.51	9.70	13.07	3.54	1.30	25.15	0.76	1.32	6.75	6.37	14.58	10.86	20.23	1.41	1.87	3.40	3.86	3.34	1.44	58.14	3.21	1.25	30.15	3.00	4.57	8.63	3.19	0.26	49.71	1.85	2.32	26.34	3.49	3.32	0.86	2.08	5.58	0.45	4.82
