"lara10.tsv"	"sim116.tsv"	"tai18.tsv"	"w501_LB.tsv"	"class"	"max"
"G10306"	0.0838734	0.663254	0	0	"UA"	0.663254
"G10894"	0.786021	0	0	0	"UA"	0.786021
"G11134"	1.46516	0	4.29977	2.80893	"UA"	4.29977
"G11373"	2.21104	22.923	16.8753	17.5394	"UA"	22.923
"G11418"	0	0	2.36406	0	"UA"	2.36406
"G11548"	1.18129	0.190501	17.7577	3.378	"UA"	17.7577
"G1258"	0.214622	0.0501965	7.86976	0.28535	"UA"	7.86976
"G1260"	10.3581	10.0594	170.884	2.53065	"UA"	170.884
"G1261"	1.74583	0.702183	23.3864000005997	5.86912	"UA"	23.3864000005997
"G1266"	0.858435	1.10667	0	2.2066	"UA"	2.2066
"G1268"	0	0	0	1.05335	"UA"	1.05335
"G1351"	0.272111	0.527508	0	0.258577	"UA"	0.527508
"G1355"	0.827022	2.39966	0	1.1042	"UA"	2.39966
"G1406"	0.365524	0.718853	2.43774	1.04346	"UA"	2.43774
"G1538"	0	0	1.23523	0	"UA"	1.23523
"G1539"	0	0	2.39998	0	"UA"	2.39998
"G1625"	0	0	1.19407471803	0	"UA"	1.19407471803
"G1626"	0.310845	3.40856	0.526816	0	"UA"	3.40856
"G1719"	2.06935	3.46281	6.22063	0.794853	"UA"	6.22063
"G1817"	0	0.0485534	1.72658	0	"UA"	1.72658
"G1851"	0.223132	1.68067	0.495605	0.285087	"UA"	1.68067
"G2070"	0	0	12.5157	0	"UA"	12.5157
"G2202"	0	0	0	0.510179	"UA"	0.510179
"G229"	0.26851	0.346173	0	0.51875	"UA"	0.51875
"G2632"	2.38472672780416	4.66092257622162	0	9.2805492929141	"UA"	9.2805492929141
"G3076"	0.301187	0.282901	73.7547	0.803357	"UA"	73.7547
"G3133"	0	1.23844	0	0	"UA"	1.23844
"G3134"	0.189786	0	0	0.784135	"UA"	0.784135
"G3135"	0.341434	1.56899	0	1.43603	"UA"	1.56899
"G3265"	0	0.211735	1.407074	1.98387	"UA"	1.98387
"G3266"	1.35218	2.55982	0.281414	4.51026	"UA"	4.51026
"G3486"	0.219562	1.16865	0	0.280707	"UA"	1.16865
"G3677"	4.11814	4.674855	68.69309	7.23993	"UA"	68.69309
"G3701"	0.301183	0.628527	1.96644	0.612077	"UA"	1.96644
