target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2171.01	29.3333	0.98147
Nep3-PB	2361	2171.01	29.3333	0.98147
Nep3-PC	2361	2171.01	29.3333	0.98147
CG9570-PA	633	444.104	0	0
Or19b-PA	1164	974.014	0	0
CG15322-PB	2223	2033.01	0	0
CG15322-PC	2223	2033.01	0	0
Or19a-PB	1164	974.014	0	0
karr-PA	294	127.142	0	0
fd19B-PA	783	593.201	0	0
CG17003-PA	864	674.014	0	0
CG12655-PA	468	282.517	8	2.05695
CG33217-PA	2100	1910.01	11	0.418345
Vps11-PA	2493	2303.01	21	0.66237
RpL10-PC	657	467.923	4522.33	702.048
RpL10-PD	657	467.923	4522.33	702.048
RpL10-PE	657	467.923	4522.33	702.048
G9a-PA	4914	4724.01	61	0.937987
G9a-PB	4974	4784.01	2.43008e-06	3.68983e-08
cin-PB	1806	1616.01	38.5	1.73059
cin-PA	1806	1616.01	38.5	1.73059
CG3777-PB	2640	2450.01	10.2	0.30242
CG3777-PA	2640	2450.01	10.2	0.30242
CG3777-PC	2640	2450.01	10.2	0.30242
CG3777-PD	2640	2450.01	10.2	0.30242
CG3777-PE	2640	2450.01	10.2	0.30242
CG12470-PA	588	399.603	10	1.81781
Or1a-PA	1179	989.014	4	0.293789
y-PA	1626	1436.01	0	0
ac-PA	606	417.319	0	0
sc-PA	1038	848.014	0	0
l(1)sc-PA	774	584.201	0	0
ase-PA	1461	1271.01	0	0
CG13373-PA	375	196.565	15	5.54323
CG13373-PB	534	346.607	0	0
CG32817-PA	366	188.71	0	0
CG32817-PC	366	188.71	0	0
CG32817-PB	366	188.71	0	0
CG3176-PA	366	188.71	0	0
CG3176-PB	306	137.195	0	0
CG3176-PC	306	137.195	0	0
CG3176-PD	366	188.71	0	0
CG3156-PA	2079	1889.01	17	0.65372
CG17778-PA	384	204.4	0	0
CG17778-PB	384	204.4	0	0
arg-PA	1056	866.014	6	0.503274
CG17896-PB	1563	1373.01	689	36.4521
CG17896-PA	1536	1346.01	0	0
CG18273-PA	4134	3944.01	33	0.60779
Cyp4g1-PA	1671	1481.01	14	0.686669
Pgcl-PA	1224	1034.01	0	0
CG32816-PB	1137	947.014	0	0
CG32816-PA	1137	947.014	0	0
CG32816-PC	882	692.014	0.5	0.0524848
CG32816-PD	882	692.014	0.5	0.0524848
CG32816-PE	1137	947.014	0	0
CG32816-PF	1137	947.014	0	0
CG13375-PA	921	731.014	0	0
CG13375-PB	921	731.014	0	0
CG13375-PC	834	644.014	0	0
CG3038-PB	1077	887.014	0	0
CG3038-PA	1167	977.014	0	0
CG3038-PC	1080	890.014	25	2.04043
Appl-PA	2664	2474.01	0.00353564	0.000103811
Appl-PB	2673	2483.01	2.62722e-05	7.68593e-07
Appl-PC	2493	2303.01	0	0
Appl-PD	2667	2477.01	2.48863	0.072981
Appl-PE	2652	2462.01	2.50712	0.0739713
Appl-PF	2667	2477.01	0.000688576	2.0193e-05
CG13369-PA	915	725.014	74	7.41419
CG17829-PA	1404	1214.01	0	0
CG17829-PC	1347	1157.01	13	0.816175
CG17829-PB	1404	1214.01	0	0
Mybbp1A-PA	3402	3212.01	42	0.949839
su(sable)-PA	3978	3788.01	127	2.4354
su(sable)-PB	3966	3776.01	0	0
su(sable)-PC	3978	3788.01	127	2.4354
CG13367-PA	1227	1037.01	30	2.10143
Roc1a-PC	411	229.319	1.85165	0.58654
Roc1a-PA	327	154.821	161.574	75.809
Roc1a-PD	327	154.821	161.574	75.809
CG5254-PA	921	731.014	0	0
CG5254-PB	714	524.473	99	13.7117
CG5273-PA	1410	1220.01	200.333	11.928
CG5273-PC	1410	1220.01	200.333	11.928
CG5273-PB	1410	1220.01	200.333	11.928
fz3-PA	1746	1556.01	9	0.420153
fz3-PB	1941	1751.01	0	0
fz3-PC	1746	1556.01	9	0.420153
CG16989-PC	3138	2948.01	42	1.0349
CG16989-PD	3138	2948.01	42	1.0349
CG14635-PA	360	183.471	0	0
CG13358-PD	906	716.014	3	0.304353
CG13359-PA	1482	1292.01	0	0
Rbf-PA	2538	2348.01	51	1.57778
CG13360-PA	1266	1076.01	109	7.35846
RpL22-PA	900	710.014	9656.76	987.968
CG13361-PA	1437	1247.01	1	0.0582515
CG13362-PA	969	779.014	0	0
Hmt4-20-PA	3903	3713.01	140	2.73892
Hmt4-20-PB	3903	3713.01	140	2.73892
RpL36-PA	348	172.958	1569.6	659.213
RpL36-PB	348	172.958	1569.6	659.213
RpL36-PD	348	172.958	1569.6	659.213
RpL36-PC	348	172.958	1569.6	659.213
RpL36-PE	348	172.958	1569.6	659.213
CG13364-PA	195	54.2826	536	717.269
CG13365-PA	345	170.487	58	24.7125
spdi-PA	2853	2663.01	0.00170788	4.65867e-05
spdi-PB	3285	3095.01	76.3296	1.79147
spdi-PC	3285	3095.01	76.3296	1.79147
spdi-PD	2850	2660.01	0.00782202	0.000213606
spdi-PE	2853	2663.01	0.00170788	4.65867e-05
spdi-PF	3285	3095.01	76.3296	1.79147
spdi-PG	2829	2639.01	0	0
CG14634-PB	282	117.46	0	0
CG11664-PA	765	575.201	0	0
CG11663-PA	459	273.966	0	0
CG11663-PB	459	273.966	0	0
MED22-PA	432	248.639	16	4.67443
CG32815-PC	1149	959.014	0.5	0.0378724
CG32815-PD	1149	959.014	0.5	0.0378724
TRAM-PB	1107	917.014	787.8	62.4048
TRAM-PA	1107	917.014	787.8	62.4048
TRAM-PC	1107	917.014	787.8	62.4048
TRAM-PD	1107	917.014	787.8	62.4048
TRAM-PE	1107	917.014	787.8	62.4048
mus81-PA	1281	1091.01	2	0.133161
CG18823-PA	321	149.827	0	0
CG14631-PA	399	218.262	0	0
CG3021-PA	1170	980.014	31	2.29778
CG14629-PA	960	770.014	24	2.26408
CG14628-PA	426	243.09	0	0
CG3655-PA	1692	1502.01	1.66667	0.0806033
CG3655-PB	1692	1502.01	1.66667	0.0806033
CG3655-PC	1791	1601.01	0	0
CG3655-PD	1692	1502.01	1.66667	0.0806033
Cdc45-PA	1728	1538.01	11	0.51953
CG11638-PA	1164	974.014	2	0.149157
TfIIA-S-2-PA	324	152.368	0	0
CG3690-PA	1677	1487.01	0.5	0.0244249
CG3690-PB	1677	1487.01	0.5	0.0244249
CG3699-PA	756	566.201	4	0.513177
CG3703-PA	2136	1946.01	6	0.223967
CG3704-PA	1149	959.014	99	7.49874
CG3706-PA	1335	1145.01	0	0
CG3708-PB	1089	899.014	0	0
CG3713-PA	252	94.3599	0	0
CG3713-PB	252	94.3599	0	0
CG32814-PB	735	545.367	0	0
CG11378-PA	939	749.014	2.33333	0.22629
CG11378-PB	939	749.014	2.33333	0.22629
CG11378-PC	939	749.014	2.33333	0.22629
CG11379-PA	606	417.319	1.5	0.261097
CG11379-PB	606	417.319	1.5	0.261097
CG14627-PA	813	623.077	0	0
CG14627-PB	813	623.077	0	0
CG14626-PA	1029	839.014	0	0
CG11380-PA	1710	1520.01	0	0
CG11380-PB	1710	1520.01	0	0
CG14625-PB	2271	2081.01	17	0.593406
CG11381-PA	1311	1121.01	0	0
CG14624-PA	693	503.73	0	0
CG11382-PB	1518	1328.01	0	0
CG11382-PC	1518	1328.01	0	0
CG32812-PA	678	488.779	0	0
CG32812-PB	678	488.779	0	0
fs(1)N-PA	6357	6167.01	0	0
Naa30A-PA	1134	944.014	105	8.07959
Naa30A-PD	1077	887.014	0	0
Tsp2A-PA	735	545.367	2.5	0.332989
Tsp2A-PB	735	545.367	2.5	0.332989
CG11417-PA	2316	2126.01	85	2.90423
CG14770-PA	456	271.214	0	0
ssx-PB	1332	1142.01	95.0674	6.04698
ssx-PC	504	317.28	0	0
ssx-PD	1458	1268.01	98.8653	5.66367
ssx-PE	1332	1142.01	95.0674	6.04698
AMPKalpha-PA	1749	1559.01	162.667	7.57926
AMPKalpha-PB	1749	1559.01	162.667	7.57926
AMPKalpha-PC	1749	1559.01	162.667	7.57926
CG32813-PD	1719	1529.01	0	0
CG32813-PB	1719	1529.01	0	0
CG32813-PL	1719	1529.01	0	0
CG32813-PM	1719	1529.01	0	0
CG32813-PN	1719	1529.01	0	0
CG32813-PH	1746	1556.01	34.8932	1.62894
CG32813-PI	1719	1529.01	0	0
CG32813-PJ	1719	1529.01	0	0
CG32813-PK	1719	1529.01	0	0
CG32813-PO	2100	1910.01	129.107	4.91011
Rilpl-PA	1332	1142.01	64.941	4.13072
Rilpl-PB	1347	1157.01	0	0
Rilpl-PC	1461	1271.01	135.059	7.71883
Lrpprc2-PA	3219	3029.01	32	0.767409
CG14785-PA	1413	1223.01	0	0
CG3719-PA	483	297.019	131	32.038
png-PA	876	686.014	2	0.211775
CG12773-PA	2139	1949.01	25.0973	0.935386
CG12773-PC	2139	1949.01	25.0973	0.935386
CG12773-PB	2136	1946.01	200.805	7.49562
MTPAP-PA	1839	1649.01	11.0274	0.485764
MTPAP-PB	867	677.014	6.94529	0.745197
MTPAP-PC	1839	1649.01	11.0274	0.485764
CG11409-PB	3840	3650.01	2.5	0.0497535
CG11409-PC	3840	3650.01	2.5	0.0497535
DAAM-PB	3462	3272.01	0	0
DAAM-PA	3345	3155.01	6.98662	0.160858
DAAM-PG	3462	3272.01	0	0
DAAM-PE	3462	3272.01	0	0
DAAM-PF	3462	3272.01	0	0
DAAM-PD	4392	4202.01	4.01338	0.0693796
CG32811-PB	234	81.0652	0	0
Atf3-PA	1842	1652.01	16.4504	0.723336
Atf3-PB	2067	1877.01	133.477	5.16554
Atf3-PC	1842	1652.01	16.4504	0.723336
CG11403-PA	2586	2396.01	15	0.454758
CG11398-PA	990	800.014	0	0
CG11398-PD	990	800.014	0	0
CG11384-PA	1767	1577.01	0	0
eIF4E7-PA	1290	1100.01	0	0
CG14777-PB	591	402.523	13.8	2.49039
CG14777-PD	591	402.523	13.8	2.49039
CG14777-PE	591	402.523	13.8	2.49039
CG14777-PC	591	402.523	13.8	2.49039
CG14777-PF	591	402.523	13.8	2.49039
CG14778-PA	561	373.024	9	1.7526
CG14780-PA	909	719.014	2	0.202056
rush-PA	951	761.014	96	9.16341
rush-PB	951	761.014	96	9.16341
inc-PB	636	447.015	45.6667	7.42088
inc-PD	636	447.015	45.6667	7.42088
inc-PC	636	447.015	45.6667	7.42088
dor-PA	3009	2819.01	176	4.53517
hfw-PA	1836	1646.01	150.5	6.64173
hfw-PB	1836	1646.01	150.5	6.64173
CG14797-PB	591	402.523	0	0
CG14797-PC	666	476.875	1	0.152326
b6-PA	1677	1487.01	2	0.0976997
Scgdelta-PA	1215	1025.01	1.25	0.0885847
Scgdelta-PC	1215	1025.01	1.25	0.0885847
Scgdelta-PD	1215	1025.01	1.25	0.0885847
Scgdelta-PE	1215	1025.01	1.25	0.0885847
CG3795-PA	918	728.014	0.5	0.0498894
CG3795-PB	918	728.014	0.5	0.0498894
a6-PA	1230	1040.01	17.6667	1.23394
a6-PB	1230	1040.01	17.6667	1.23394
a6-PC	1230	1040.01	17.6667	1.23394
CG3740-PA	423	240.312	234	70.7323
Mur2B-PA	5388	5198.01	44.4461	0.621119
Mur2B-PC	5388	5198.01	44.4461	0.621119
Mur2B-PB	3435	3245.01	14.1077	0.315805
CG14795-PB	351	175.589	0	0
sta-PA	813	623.077	4084.25	476.155
sta-PB	813	623.077	4084.25	476.155
sta-PE	813	623.077	4084.25	476.155
sta-PF	813	623.077	4084.25	476.155
Rab27-PB	711	521.473	0	0
Rab27-PC	693	503.73	0	0
CG32808-PA	855	665.014	9	0.983083
O-fut2-PA	1473	1283.01	31	1.75513
CG14787-PA	783	593.201	1	0.122455
CG32806-PA	618	429.234	0	0
MED18-PA	654	464.923	40.6379	6.34935
MED18-PC	153	30.1794	4.36208	10.4993
CG14803-PA	3309	3119.01	0.03276	0.000762966
CG14803-PB	3294	3104.01	21.9672	0.514079
Vps26-PA	1437	1247.01	389	22.6598
CG14805-PA	1521	1331.01	58	3.16536
Coa8-PA	531	343.745	39	8.24149
Coa8-PB	531	343.745	39	8.24149
mRpL16-PA	732	542.367	74	9.91098
mRpL16-PB	732	542.367	74	9.91098
mip130-PA	2961	2771.01	112	2.93601
Rbcn-3B-PA	4578	4388.01	188	3.1122
Rbcn-3B-PB	4578	4388.01	188	3.1122
Ocrl-PA	2553	2363.01	75	2.30554
Ocrl-PB	2553	2363.01	75	2.30554
CG11596-PB	1206	1016.01	0.763356	0.0545765
CG11596-PC	1371	1181.01	28.4474	1.74971
CG11596-PA	1320	1130.01	41.2625	2.65247
CG11596-PD	1206	1016.01	0.763356	0.0545765
CG11596-PE	1206	1016.01	0.763356	0.0545765
CG3587-PA	900	710.014	76	7.77544
CG4194-PA	795	605.201	4	0.480108
Rtca-PA	1086	896.014	6.5	0.526959
Rtca-PB	1086	896.014	6.5	0.526959
CG4045-PA	771	581.201	38	4.74936
CG4199-PC	1782	1592.01	0	0
CG4199-PD	1782	1592.01	0	0
CG4199-PB	1782	1592.01	0	0
CG4199-PA	1659	1469.01	317	15.6751
CG4199-PG	1782	1592.01	0	0
CG4199-PH	1782	1592.01	0	0
CG4199-PI	1782	1592.01	0	0
CG14054-PA	618	429.234	0	0
CG4281-PA	2091	1901.01	214	8.17724
Sik2-PA	4197	4007.01	71	1.28711
moody-PA	2013	1823.01	37.6229	1.49913
moody-PB	2013	1823.01	37.6229	1.49913
moody-PC	1902	1712.01	11.2542	0.477512
moody-PD	1902	1712.01	11.2542	0.477512
moody-PE	2013	1823.01	37.6229	1.49913
moody-PF	2013	1823.01	37.6229	1.49913
CG4325-PA	477	291.227	0	0
CG4325-PB	477	291.227	0	0
Actn-PC	2754	2564.01	168.376	4.77021
Actn-PB	2688	2498.01	0.000356439	1.0365e-05
Actn-PA	2688	2498.01	94.4955	2.74786
Actn-PD	2688	2498.01	0.000356439	1.0365e-05
Actn-PF	2694	2504.01	0	0
Actn-PG	2754	2564.01	168.376	4.77021
Actn-PH	2754	2564.01	168.376	4.77021
Actn-PI	2688	2498.01	0.000356439	1.0365e-05
Actn-PJ	2754	2564.01	168.376	4.77021
usp-PA	1527	1337.01	175.5	9.53497
usp-PB	1527	1337.01	175.5	9.53497
PIG-K-PA	1068	878.014	403	33.3413
CG3857-PA	1464	1274.01	19	1.08332
eIF2Bepsilon-PA	2010	1820.01	124	4.94909
