target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2166.75	22	0.219781
Nep3-PB	2361	2166.75	22	0.219781
Nep3-PC	2361	2166.75	22	0.219781
CG9570-PA	633	440.453	8	0.393157
Or19b-PA	1164	969.749	0	0
CG15322-PB	2223	2028.75	0	0
CG15322-PC	2223	2028.75	0	0
Or19a-PB	1164	969.749	0	0
karr-PA	294	127.135	0	0
fd19B-PA	783	589.314	0	0
CG17003-PA	864	669.818	2	0.0646321
CG12655-PA	468	280.464	11	0.848969
CG33217-PA	2100	1905.75	39	0.44297
Vps11-PA	2493	2298.75	64	0.602648
RpL10-PC	657	464.183	3868.67	180.405
RpL10-PD	657	464.183	3868.67	180.405
RpL10-PE	657	464.183	3868.67	180.405
G9a-PA	4914	4719.75	154.542	0.708765
G9a-PB	4974	4779.75	17.4582	0.0790625
cin-PB	1806	1611.75	84	1.12812
cin-PA	1806	1611.75	84	1.12812
CG3777-PB	2640	2445.75	0.2	0.00177008
CG3777-PA	2640	2445.75	0.2	0.00177008
CG3777-PC	2640	2445.75	0.2	0.00177008
CG3777-PD	2640	2445.75	0.2	0.00177008
CG3777-PE	2640	2445.75	0.2	0.00177008
CG12470-PA	588	396.196	12	0.655611
Or1a-PA	1179	984.749	0	0
y-PA	1626	1431.75	0	0
ac-PA	606	413.75	0	0
sc-PA	1038	843.749	0	0
l(1)sc-PA	774	580.314	0	0
ase-PA	1461	1266.75	0	0
CG13373-PA	375	195.202	0	0
CG13373-PB	534	343.928	28	1.76224
CG32817-PA	366	187.392	0	0
CG32817-PC	366	187.392	0	0
CG32817-PB	366	187.392	0	0
CG3176-PA	366	187.392	0	0
CG3176-PB	306	136.951	0	0
CG3176-PC	306	136.951	0	0
CG3176-PD	366	187.392	0	0
CG3156-PA	2079	1884.75	28	0.321573
CG17778-PA	384	203.161	4.5	0.479455
CG17778-PB	384	203.161	4.5	0.479455
arg-PA	1056	861.749	9	0.226067
CG17896-PB	1563	1368.75	459	7.25879
CG17896-PA	1536	1341.75	0	0
CG18273-PA	4134	3939.75	99	0.543929
Cyp4g1-PA	1671	1476.75	636	9.32236
Pgcl-PA	1224	1029.75	1	0.0210205
CG32816-PB	1137	942.749	0	0
CG32816-PA	1137	942.749	0	0
CG32816-PC	882	687.818	0.5	0.0157352
CG32816-PD	882	687.818	0.5	0.0157352
CG32816-PE	1137	942.749	0	0
CG32816-PF	1137	942.749	0	0
CG13375-PA	921	726.749	0	0
CG13375-PB	921	726.749	0	0
CG13375-PC	834	639.946	0	0
CG3038-PB	1077	882.749	0	0
CG3038-PA	1167	972.749	12.8189	0.28525
CG3038-PC	1080	885.749	8.18109	0.199929
Appl-PA	2664	2469.75	0	0
