target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2202.33	15.6667	0.324948
Nep3-PB	2361	2202.33	15.6667	0.324948
Nep3-PC	2361	2202.33	15.6667	0.324948
CG9570-PA	633	474.326	0	0
Or19b-PA	1164	1005.33	0	0
CG15322-PB	2223	2064.33	128	2.83238
CG15322-PC	2223	2064.33	128	2.83238
Or19a-PB	1164	1005.33	0	0
karr-PA	294	139.894	0	0
fd19B-PA	783	624.326	0	0
CG17003-PA	864	705.326	0	0
CG12655-PA	468	309.49	10	1.47595
CG33217-PA	2100	1941.33	15	0.352949
Vps11-PA	2493	2334.33	18.2369	0.356869
RpL10-PC	657	498.326	1721	157.756
RpL10-PD	657	498.326	1721	157.756
RpL10-PE	657	498.326	1721	157.756
G9a-PA	4914	4755.33	126.396	1.21415
G9a-PB	4974	4815.33	35.6044	0.337752
cin-PB	1806	1647.33	55.5	1.53898
cin-PA	1806	1647.33	55.5	1.53898
CG3777-PB	2640	2481.33	0.8	0.0147274
CG3777-PA	2640	2481.33	0.8	0.0147274
CG3777-PC	2640	2481.33	0.8	0.0147274
CG3777-PD	2640	2481.33	0.8	0.0147274
CG3777-PE	2640	2481.33	0.8	0.0147274
CG12470-PA	588	429.326	0	0
Or1a-PA	1179	1020.33	0	0
y-PA	1626	1467.33	0	0
ac-PA	606	447.326	0	0
sc-PA	1038	879.326	0	0
l(1)sc-PA	774	615.326	0	0
ase-PA	1461	1302.33	0	0
CG13373-PA	375	217.377	0	0
CG13373-PB	534	375.326	7	0.85194
CG32817-PA	366	208.592	0	0
CG32817-PC	366	208.592	0	0
CG32817-PB	366	208.592	0	0
CG3176-PA	366	208.592	0	0
CG3176-PB	306	151.111	0	0
CG3176-PC	306	151.111	0	0
CG3176-PD	366	208.592	0	0
CG3156-PA	2079	1920.33	25.6099	0.609189
CG17778-PA	384	226.223	3.5	0.706726
CG17778-PB	384	226.223	3.5	0.706726
arg-PA	1056	897.326	1	0.050906
CG17896-PB	1563	1404.33	340	11.0594
CG17896-PA	1536	1377.33	0	0
CG18273-PA	4134	3975.33	150	1.7236
Cyp4g1-PA	1671	1512.33	47	1.41962
Pgcl-PA	1224	1065.33	0	0
CG32816-PB	1137	978.326	0.25	0.0116728
CG32816-PA	1137	978.326	0.25	0.0116728
CG32816-PC	882	723.326	0	0
CG32816-PD	882	723.326	0	0
CG32816-PE	1137	978.326	0.25	0.0116728
CG32816-PF	1137	978.326	0.25	0.0116728
CG13375-PA	921	762.326	0	0
CG13375-PB	921	762.326	0	0
CG13375-PC	834	675.326	0	0
CG3038-PB	1077	918.326	16	0.79587
CG3038-PA	1167	1008.33	0	0
CG3038-PC	1080	921.326	0	0
Appl-PA	2664	2505.33	0	0
Appl-PB	2673	2514.33	0	0
Appl-PC	2493	2334.33	5	0.0978425
Appl-PD	2667	2508.33	0	0
Appl-PE	2652	2493.33	0	0
Appl-PF	2667	2508.33	0	0
CG13369-PA	915	756.326	450	27.1783
CG17829-PA	1404	1245.33	33	1.21046
CG17829-PC	1347	1188.33	0	0
CG17829-PB	1404	1245.33	33	1.21046
Mybbp1A-PA	3402	3243.33	173	2.43655
su(sable)-PA	3978	3819.33	572	6.84114
su(sable)-PB	3966	3807.33	0	0
su(sable)-PC	3978	3819.33	572	6.84114
CG13367-PA	1227	1068.33	79	3.37787
Roc1a-PC	411	252.764	2.08756	0.377261
Roc1a-PA	327	170.885	302.956	80.9832
Roc1a-PD	327	170.885	302.956	80.9832
CG5254-PA	921	762.326	30	1.79763
CG5254-PB	714	555.326	0	0
CG5273-PA	1410	1251.33	16.3333	0.596243
CG5273-PC	1410	1251.33	16.3333	0.596243
