class	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
MSU	TU309_ORF_1	867	+	1	301	633	333	0.612	0.076328392	0.113253469
MSU	TU309_ORF_2	867	+	3	426	605	180	0.8098	0.254288256	0.085126825
MSU	TU309_ORF_3	867	+	2	602	709	108	1.01	-0.32384473	0.022278567
MSU	TU576_ORF_1	827	+	1	589	825	237	0.8692	-0.206823541	0.060676865
MSU	TU576_ORF_2	827	+	2	476	634	159	0.6519	-0.210119636	0.01617657
MSU	TU576_ORF_3	827	+	1	118	225	108	0.7616	-0.137256073	0.017192028
MSU	TU576_ORF_4	827	+	3	726	827	102	1.1007	-0.100464085	0.049036212
MSU	TU949_ORF_1	469	+	3	243	341	99	0.8032	0.430882642	0.104267527
MSU	TU1004_ORF_1	211	+	1	100	195	96	0.9086	0.033263699	0.07885391
MSU	TU1108_ORF_1	1266	+	2	848	1264	417	0.8277	-0.217191032	0.130974367
MSU	TU1108_ORF_2	1266	+	2	35	196	162	0.7081	-0.433161321	0.006458675
MSU	TU1108_ORF_3	1266	+	3	906	1064	159	0.9168	0.268475982	0.060937764
MSU	TU1108_ORF_4	1266	+	2	338	469	132	0.7599	-0.355788272	0.006992684
MSU	TU1108_ORF_5	1266	+	1	193	309	117	0.7922	0.118693572	0.020828538
MSU	TU1216_ORF_1	479	+	2	158	322	165	0.8312	-0.472211556	0.025063731
MSU	TU1216_ORF_2	479	+	3	75	158	84	0.5836	-0.894486494	0.002119102
MSU	TU1250_ORF_1	1737	+	2	284	505	222	0.5729	-0.319612039	0.005040145
MSU	TU1250_ORF_2	1737	+	3	876	1067	192	0.7822	-0.002380635	0.015612498
MSU	TU1250_ORF_3	1737	+	3	42	224	183	0.7559	-0.496483988	0.004109314
MSU	TU1250_ORF_4	1737	+	2	665	805	141	0.803	-0.26046275	0.005763799
MSU	TU1250_ORF_5	1737	+	3	1599	1736	138	1.0601	-0.075806629	0.019061078
MSU	TU1556_ORF_1	374	+	1	25	321	297	0.7163	-0.265332239	0.09893215
MSU	TU1925_ORF_1	2192	+	1	1882	2178	297	0.7928	-0.130024149	0.016259411
MSU	TU1925_ORF_2	2192	+	3	1746	2006	261	0.7529	0.144897846	0.020142539
MSU	TU1925_ORF_3	2192	+	3	2037	2192	156	0.7971	-0.255686361	0.003545211
MSU	TU1925_ORF_4	2192	+	2	1175	1324	150	0.4924	-0.708015597	0.000445044
MSU	TU1925_ORF_5	2192	+	3	363	500	138	0.921	-0.181291683	0.005286896
MSU	TU1926_ORF_1	2116	+	3	1806	2102	297	0.7928	-0.130024149	0.017984525
MSU	TU1926_ORF_2	2116	+	2	1670	1930	261	0.7529	0.144897846	0.022270324
MSU	TU1926_ORF_3	2116	+	3	363	560	198	0.7969	0.016731718	0.010865033
MSU	TU1926_ORF_4	2116	+	2	1961	2116	156	0.7971	-0.255686361	0.00392674
MSU	TU1926_ORF_5	2116	+	1	1099	1248	150	0.4924	-0.708015597	0.000493104
MSU	TU1927_ORF_1	2168	+	1	1858	2154	297	0.7928	-0.130024149	0.016785829
MSU	TU1927_ORF_2	2168	+	3	1722	1982	261	0.7529	0.144897846	0.020792021
MSU	TU1927_ORF_3	2168	+	3	2013	2168	156	0.7971	-0.255686361	0.003661523
MSU	TU1927_ORF_4	2168	+	2	1151	1300	150	0.4924	-0.708015597	0.000459692
MSU	TU1927_ORF_5	2168	+	3	363	500	138	0.921	-0.181291683	0.005460037
MSU	TU1928_ORF_1	2254	+	3	1944	2240	297	0.7928	-0.130024149	0.014973505
MSU	TU1928_ORF_2	2254	+	2	1808	2068	261	0.7529	0.144897846	0.01855532
MSU	TU1928_ORF_3	2254	+	2	2099	2254	156	0.7971	-0.255686361	0.003261497
MSU	TU1928_ORF_4	2254	+	1	1237	1386	150	0.4924	-0.708015597	0.000409326
MSU	TU1928_ORF_5	2254	+	3	570	698	129	0.9669	0.119065941	0.010579176
MSU	TU1929_ORF_1	2023	+	3	1713	2009	297	0.7928	-0.130024149	0.020341288
MSU	TU1929_ORF_2	2023	+	2	1577	1837	261	0.7529	0.144897846	0.025174317
MSU	TU1929_ORF_3	2023	+	3	363	563	201	0.6515	0.020611472	0.008176144
MSU	TU1929_ORF_4	2023	+	2	1868	2023	156	0.7971	-0.255686361	0.004449663
MSU	TU1929_ORF_5	2023	+	1	1006	1155	150	0.4924	-0.708015597	0.000559027
MSU	TU1930_ORF_1	2185	+	3	1875	2171	297	0.7928	-0.130024149	0.01641125
MSU	TU1930_ORF_2	2185	+	2	1739	1999	261	0.7529	0.144897846	0.020329891
MSU	TU1930_ORF_3	2185	+	2	2030	2185	156	0.7971	-0.255686361	0.003578749
MSU	TU1930_ORF_4	2185	+	1	1168	1317	150	0.4924	-0.708015597	0.000449267
MSU	TU1930_ORF_5	2185	+	3	570	698	129	0.9669	0.119065941	0.011599949
MSU	TU1938_ORF_1	799	+	2	473	721	249	0.8591	0.142540257	0.143267561
MSU	TU1938_ORF_2	799	+	3	195	422	228	0.8614	-0.188897995	0.059385887
MSU	TU1938_ORF_3	799	+	1	169	375	207	0.6535	0.041805985	0.045830695
MSU	TU1938_ORF_4	799	+	3	648	746	99	0.6012	-0.333802592	0.006342259
MSU	TU1938_ORF_5	799	+	2	281	364	84	0.8491	0.449726093	0.072958756
MSU	TU1957_ORF_1	283	+	3	150	251	102	0.8151	-0.14993818	0.038047762
MSU	TU2094_ORF_1	333	+	1	136	231	96	1.059	-0.367986014	0.042220378
MSU	TU2098_ORF_1	448	+	1	49	129	81	0.5419	-0.425975228	0.005802311
MSU	TU2098_ORF_2	448	+	3	216	293	78	0.5298	-0.253490273	0.008214241
MSU	TU2185_ORF_1	421	+	1	10	186	177	0.8063	0.071076065	0.095387357
MSU	TU2185_ORF_2	421	+	2	140	262	123	0.7512	-0.087121912	0.03637086
MSU	TU2185_ORF_3	421	+	1	322	399	78	1.0459	0.145212894	0.09897389
MSU	TU2357_ORF_1	3030	+	3	540	761	222	0.6948	0.062937505	0.003214779
MSU	TU2357_ORF_2	3030	+	2	728	916	189	0.8657	-0.192333224	0.002206256
MSU	TU2357_ORF_3	3030	+	2	2747	2923	177	0.9747	-0.502760311	0.001319511
MSU	TU2357_ORF_4	3030	+	3	1674	1844	171	0.7598	-0.3896018	0.000846531
MSU	TU2357_ORF_5	3030	+	2	2573	2713	141	0.6403	0.1048375	0.001469968
MSU	TU2358_ORF_1	2826	+	2	524	712	189	0.8657	-0.192333224	0.002903696
MSU	TU2358_ORF_2	2826	+	2	2543	2719	177	0.9747	-0.502760311	0.001737121
MSU	TU2358_ORF_3	2826	+	3	1470	1640	171	0.7598	-0.3896018	0.001114615
MSU	TU2358_ORF_4	2826	+	2	2369	2509	141	0.6403	0.1048375	0.001935104
MSU	TU2358_ORF_5	2826	+	2	926	1039	114	0.7432	-0.470246049	0.000527302
MSU	TU2351_ORF_1	1400	+	1	181	285	105	0.6523	0.081716767	0.009399385
MSU	TU2351_ORF_2	1400	+	1	952	1056	105	0.3438	-1.119170355	0.000205292
MSU	TU2351_ORF_3	1400	+	3	957	1043	87	0.503	-0.928997208	0.000451363
MSU	TU2351_ORF_4	1400	+	2	656	733	78	0.7441	-0.691601585	0.001548141
MSU	TU2352_ORF_1	1404	+	1	109	324	216	0.437	-0.37443044	0.004322802
MSU	TU2352_ORF_2	1404	+	2	185	289	105	0.6523	0.081716767	0.009349241
MSU	TU2352_ORF_3	1404	+	2	956	1060	105	0.3438	-1.119170355	0.000204187
MSU	TU2352_ORF_4	1404	+	1	961	1047	87	0.503	-0.928997208	0.000448934
MSU	TU2352_ORF_5	1404	+	3	660	737	78	0.7441	-0.691601585	0.001539817
MSU	TU2354_ORF_1	1026	+	2	578	682	105	0.3438	-1.119170355	0.000340078
MSU	TU2354_ORF_2	1026	+	1	583	669	87	0.503	-0.928997208	0.000747588
MSU	TU2354_ORF_3	1026	+	3	282	359	78	0.7441	-0.691601585	0.002562323
MSU	TU2401_ORF_1	604	+	3	213	362	150	1.0342	-0.160581558	0.069881069
MSU	TU2401_ORF_2	604	+	2	359	475	117	0.6078	-0.540739491	0.006012569
MSU	TU2401_ORF_3	604	+	3	42	119	78	0.6472	-0.119630387	0.013113367
MSU	TU2506_ORF_1	375	+	3	39	371	333	0.8309	-0.563123284	0.095082269
MSU	TU2506_ORF_2	375	+	2	119	355	237	0.6301	-0.542644323	0.024777795
MSU	TU2506_ORF_3	375	+	1	166	375	210	0.6751	-0.618843407	0.018785816
MSU	TU2511_ORF_1	1369	+	2	326	652	327	0.751	-0.260793061	0.040350559
MSU	TU2511_ORF_2	1369	+	3	861	1157	297	0.5223	0.001074479	0.028990198
MSU	TU2511_ORF_3	1369	+	2	1088	1255	168	0.8785	-0.295282819	0.013851773
MSU	TU2511_ORF_4	1369	+	1	595	720	126	0.6841	-0.323783035	0.00494221
MSU	TU2511_ORF_5	1369	+	3	69	170	102	0.6302	-0.245118856	0.004091183
MSU	TU2512_ORF_1	1470	+	2	326	652	327	0.751	-0.260793061	0.035389606
MSU	TU2512_ORF_2	1470	+	2	980	1258	279	0.4866	-0.054162145	0.017129932
MSU	TU2512_ORF_3	1470	+	1	1189	1356	168	0.8785	-0.295282819	0.012107644
MSU	TU2512_ORF_4	1470	+	1	595	720	126	0.6841	-0.323783035	0.004315009
MSU	TU2512_ORF_5	1470	+	3	69	170	102	0.6302	-0.245118856	0.003571595
MSU	TU2513_ORF_1	1481	+	2	326	652	327	0.751	-0.260793061	0.034886176
MSU	TU2513_ORF_2	1481	+	1	991	1269	279	0.4866	-0.054162145	0.016881707
MSU	TU2513_ORF_3	1481	+	3	1200	1367	168	0.8785	-0.295282819	0.011931311
MSU	TU2513_ORF_4	1481	+	1	595	720	126	0.6841	-0.323783035	0.004251678
MSU	TU2513_ORF_5	1481	+	3	69	170	102	0.6302	-0.245118856	0.003519137
MSU	TU2514_ORF_1	1386	+	2	326	715	390	0.7566	-0.283238286	0.064703445
MSU	TU2514_ORF_2	1386	+	2	896	1174	279	0.4866	-0.054162145	0.019147402
MSU	TU2514_ORF_3	1386	+	1	1105	1272	168	0.8785	-0.295282819	0.013541765
MSU	TU2514_ORF_4	1386	+	1	595	705	111	0.8044	-0.283026628	0.006747369
MSU	TU2514_ORF_5	1386	+	3	69	170	102	0.6302	-0.245118856	0.003998735
MSU	TU2516_ORF_1	461	+	2	260	460	201	0.6663	-0.305370631	0.031482641
MSU	TU2695_ORF_1	948	+	2	326	547	222	0.9513	0.138019361	0.124015157
MSU	TU2695_ORF_2	948	+	3	330	497	168	0.7103	-0.020675094	0.027736773
MSU	TU2695_ORF_3	948	+	3	498	638	141	0.9759	0.01158169	0.052192841
MSU	TU2695_ORF_4	948	+	3	168	272	105	0.6933	-0.276203976	0.008326631
MSU	TU2696_ORF_1	1996	+	3	1374	1595	222	0.9513	0.138019361	0.033256734
MSU	TU2696_ORF_2	1996	+	3	915	1103	189	0.7761	-0.300058086	0.005203193
MSU	TU2696_ORF_3	1996	+	1	1378	1545	168	0.7103	-0.020675094	0.006884338
MSU	TU2696_ORF_4	1996	+	1	1546	1686	141	0.9759	0.01158169	0.013204093
MSU	TU2696_ORF_5	1996	+	1	637	720	84	0.7034	-0.415481381	0.001249762
MSU	TU2697_ORF_1	2352	+	2	1730	1951	222	0.9513	0.138019361	0.020831201
MSU	TU2697_ORF_2	2352	+	2	1271	1459	189	0.7761	-0.300058086	0.003224195
MSU	TU2697_ORF_3	2352	+	3	1734	1901	168	0.7103	-0.020675094	0.004268672
MSU	TU2697_ORF_4	2352	+	2	434	592	159	0.6856	-1.023049506	0.000330903
MSU	TU2697_ORF_5	2352	+	3	1902	2042	141	0.9759	0.01158169	0.008207115
MSU	TU2853_ORF_1	821	+	1	601	819	219	0.712	-0.681780925	0.010821445
MSU	TU2853_ORF_2	821	+	1	274	438	165	1.0963	-0.40564362	0.041278269
MSU	TU2853_ORF_3	821	+	3	141	305	165	0.7479	-0.296243119	0.018756573
MSU	TU2853_ORF_4	821	+	1	82	168	87	0.8856	-0.293767929	0.014531182
MSU	TU2900_ORF_1	479	+	2	263	343	81	0.5732	-0.732743415	0.00294372
MSU	TU3262_ORF_1	506	+	2	137	217	81	0.7356	-0.076098327	0.022205092
MSU	TU3262_ORF_2	506	+	2	221	301	81	0.7534	-0.488974594	0.008829007
MSU	TU4049_ORF_1	393	+	2	152	283	132	0.5298	-0.150755798	0.018073902
MSU	TU4049_ORF_2	393	+	3	108	215	108	0.5371	0.026763596	0.022778242
MSU	TU4071_ORF_1	1966	+	2	1388	1870	483	0.6584	-0.31653542	0.046802913
MSU	TU4071_ORF_2	1966	+	1	1060	1497	438	0.413	-0.07911469	0.026617992
MSU	TU4071_ORF_3	1966	+	2	326	436	111	0.8323	-0.553757084	0.001763997
MSU	TU4071_ORF_4	1966	+	3	177	278	102	1.316	0.284563048	0.051440128
MSU	TU4071_ORF_5	1966	+	1	673	771	99	0.7932	-0.474644116	0.001700152
MSU	TU4072_ORF_1	1331	+	3	753	1235	483	0.6584	-0.31653542	0.103709744
MSU	TU4072_ORF_2	1331	+	2	425	862	438	0.413	-0.07911469	0.06054112
MSU	TU4072_ORF_3	1331	+	3	177	278	102	1.316	0.284563048	0.113314991
MSU	TU4072_ORF_4	1331	+	1	664	756	93	0.7847	-0.49163712	0.003546603
MSU	TU4073_ORF_1	1945	+	2	1367	1849	483	0.6584	-0.31653542	0.048083986
MSU	TU4073_ORF_2	1945	+	1	1039	1476	438	0.413	-0.07911469	0.02736243
MSU	TU4073_ORF_3	1945	+	2	305	415	111	0.8323	-0.553757084	0.001814628
MSU	TU4073_ORF_4	1945	+	3	156	257	102	1.316	0.284563048	0.052841093
MSU	TU4073_ORF_5	1945	+	1	652	750	99	0.7932	-0.474644116	0.001748953
MSU	TU4074_ORF_1	1310	+	3	732	1214	483	0.6584	-0.31653542	0.106374621
MSU	TU4074_ORF_2	1310	+	2	404	841	438	0.413	-0.07911469	0.062173702
MSU	TU4074_ORF_3	1310	+	3	156	257	102	1.316	0.284563048	0.116194683
MSU	TU4074_ORF_4	1310	+	1	643	735	93	0.7847	-0.49163712	0.003648211
MSU	TU4301_ORF_1	1021	+	2	104	262	159	0.7818	-0.287948375	0.015429949
MSU	TU4301_ORF_2	1021	+	1	622	717	96	1.3014	-0.022962118	0.077635446
MSU	TU4301_ORF_3	1021	+	2	725	802	78	1.2193	-0.171461231	0.037552133
MSU	TU4302_ORF_1	931	+	2	422	712	291	0.9454	0.187400409	0.227733738
MSU	TU4302_ORF_2	931	+	2	104	262	159	0.7818	-0.287948375	0.01738857
MSU	TU4302_ORF_3	931	+	1	532	627	96	1.3014	-0.022962118	0.086794127
MSU	TU4303_ORF_1	952	+	2	422	733	312	1.0116	0.165181941	0.286421857
MSU	TU4303_ORF_2	952	+	2	104	262	159	0.7818	-0.287948375	0.016910769
MSU	TU4303_ORF_3	952	+	1	553	648	96	1.3014	-0.022962118	0.084573353
MSU	TU4836_ORF_1	841	+	1	439	690	252	0.5852	-0.58743505	0.011949747
MSU	TU4836_ORF_2	841	+	2	329	511	183	0.705	-0.391246987	0.01498964
MSU	TU4836_ORF_3	841	+	3	168	323	156	1.0242	-0.431596337	0.028290022
MSU	TU4836_ORF_4	841	+	1	211	339	129	0.9438	-0.247934659	0.027048583
MSU	TU5117_ORF_1	442	+	3	222	344	123	0.3954	-0.766607444	0.002392109
MSU	TU5117_ORF_2	442	+	2	317	403	87	0.8979	-0.934864597	0.005455407
MSU	TU5775_ORF_1	1060	+	3	852	980	129	0.5215	-0.702811528	0.001884237
MSU	TU5775_ORF_2	1060	+	1	4	120	117	0.3438	-0.487774538	0.001641383
MSU	TU5775_ORF_3	1060	+	2	623	718	96	0.8097	-0.300622769	0.008921239
MSU	TU5775_ORF_4	1060	+	1	922	1002	81	0.9111	-0.783924469	0.00336784
MSU	TU5836_ORF_1	308	+	3	144	296	153	0.4653	-0.412055805	0.010766946
MSU	TU5837_ORF_1	259	+	3	96	257	162	0.7455	-0.308664198	0.036885017
MSU	TU5934_ORF_1	227	+	3	27	152	126	0.7747	-0.339337567	0.028713319
MSU	TU5935_ORF_1	498	+	2	152	241	90	1.2109	-0.371471147	0.05033459
MSU	TU5935_ORF_2	498	+	2	317	394	78	0.9165	0.483709822	0.130171929
MSU	TU5967_ORF_1	925	+	3	39	344	306	0.6734	-0.359518357	0.037991846
MSU	TU5967_ORF_2	925	+	3	432	542	111	0.6263	-0.459588022	0.00476113
MSU	TU5967_ORF_3	925	+	1	7	102	96	0.8602	-0.238820871	0.01442785
MSU	TU6104_ORF_1	707	+	3	219	350	132	1.1188	-0.183514951	0.064107349
MSU	TU6443_ORF_1	1090	+	2	167	406	240	0.5273	-0.335984056	0.011744974
MSU	TU6443_ORF_2	1090	+	1	103	234	132	1.0177	0.13978062	0.060997911
MSU	TU6443_ORF_3	1090	+	3	771	857	87	0.8165	-0.819853684	0.002339441
MSU	TU6443_ORF_4	1090	+	3	396	479	84	0.6855	-0.019910673	0.010287537
MSU	TU6442_ORF_1	1340	+	2	167	406	240	0.5273	-0.335984056	0.008409078
MSU	TU6442_ORF_2	1340	+	2	1073	1294	222	0.5978	-0.102400004	0.01549974
MSU	TU6442_ORF_3	1340	+	1	103	234	132	1.0177	0.13978062	0.044299908
MSU	TU6442_ORF_4	1340	+	3	771	857	87	0.8165	-0.819853684	0.00167046
MSU	TU6442_ORF_5	1340	+	3	396	479	84	0.6855	-0.019910673	0.007362509
MSU	TU6445_ORF_1	1303	+	3	129	431	303	0.5121	0.060428328	0.037032563
MSU	TU6445_ORF_2	1303	+	3	795	998	204	0.6928	-0.129111151	0.017434194
MSU	TU6445_ORF_3	1303	+	3	15	128	114	0.9036	0.140781954	0.028462549
MSU	TU6445_ORF_4	1303	+	1	976	1074	99	1.1087	-0.093214111	0.026805949
MSU	TU6445_ORF_5	1303	+	2	170	259	90	0.8926	-0.208095534	0.009817052
MSU	TU6446_ORF_1	841	+	3	129	536	408	0.5614	0.084431342	0.18305046
MSU	TU6446_ORF_2	841	+	3	15	128	114	0.9036	0.140781954	0.051827221
MSU	TU6446_ORF_3	841	+	1	514	612	99	1.1087	-0.093214111	0.04887915
MSU	TU6446_ORF_4	841	+	2	170	259	90	0.8926	-0.208095534	0.018161918
MSU	TU6451_ORF_1	1992	+	3	618	887	270	0.4592	-0.150545912	0.005767416
MSU	TU6451_ORF_2	1992	+	1	10	261	252	0.6736	-0.346037417	0.005958974
MSU	TU6451_ORF_3	1992	+	1	1534	1776	243	0.7914	-0.246231458	0.010014104
MSU	TU6451_ORF_4	1992	+	2	1310	1498	189	0.7794	-0.237051879	0.00614169
MSU	TU6451_ORF_5	1992	+	3	1521	1667	147	1.0474	-0.249393967	0.009366735
MSU	TU6452_ORF_1	450	+	3	54	209	156	0.6683	-0.111973981	0.034243826
MSU	TU6452_ORF_2	450	+	3	261	374	114	0.5759	-0.610406893	0.005529613
MSU	TU6452_ORF_3	450	+	2	332	427	96	0.7846	-0.47354766	0.012379277
MSU	TU6453_ORF_1	635	+	2	470	595	126	0.706	-0.438397061	0.010754396
MSU	TU6453_ORF_2	635	+	3	99	203	105	0.4412	-0.724102307	0.00200573
MSU	TU6453_ORF_3	635	+	3	477	575	99	0.997	-0.648014963	0.012542063
MSU	TU6453_ORF_4	635	+	2	263	355	93	0.7525	-0.466010114	0.008693283
MSU	TU6453_ORF_5	635	+	1	43	123	81	0.6973	-0.262225887	0.010730373
MSU	TU6472_ORF_1	1378	+	1	304	459	156	0.9225	-0.14215617	0.02022177
MSU	TU6472_ORF_2	1378	+	1	814	945	132	0.9272	-0.186307626	0.015003092
MSU	TU6472_ORF_3	1378	+	3	1260	1376	117	0.7293	-1.124055424	0.000762798
MSU	TU6472_ORF_4	1378	+	3	210	323	114	0.5198	0.117712811	0.007610317
MSU	TU6466_ORF_1	873	+	3	210	371	162	0.5736	0.085307631	0.024698586
MSU	TU6466_ORF_2	873	+	1	352	507	156	0.9225	-0.14215617	0.039209025
MSU	TU6469_ORF_1	864	+	1	343	498	156	0.9225	-0.14215617	0.039669285
MSU	TU6469_ORF_2	864	+	3	210	362	153	0.718	0.154704869	0.041822519
MSU	TU6470_ORF_1	848	+	2	185	346	162	0.5736	0.085307631	0.025524708
MSU	TU6470_ORF_2	848	+	3	327	482	156	0.9225	-0.14215617	0.040500341
MSU	TU6465_ORF_1	493	+	3	210	371	162	0.5736	0.085307631	0.040581086
MSU	TU6465_ORF_2	493	+	1	352	492	141	0.9284	0.022651128	0.0827981
MSU	TU6468_ORF_1	484	+	3	210	362	153	0.718	0.154704869	0.067949436
MSU	TU6468_ORF_2	484	+	1	343	483	141	0.9284	0.022651128	0.083725446
MSU	TU6471_ORF_1	445	+	1	304	444	141	0.9284	0.022651128	0.087853843
MSU	TU6471_ORF_2	445	+	3	210	323	114	0.5198	0.117712811	0.026310542
MSU	TU6467_ORF_1	468	+	2	185	346	162	0.5736	0.085307631	0.041915618
MSU	TU6467_ORF_2	468	+	3	327	467	141	0.9284	0.022651128	0.085397387
MSU	TU6473_ORF_1	710	+	1	436	588	153	0.718	0.154704869	0.050993945
MSU	TU6473_ORF_2	710	+	2	569	709	141	0.9284	0.022651128	0.06309986
MSU	TU6474_ORF_1	671	+	2	530	670	141	0.9284	0.022651128	0.066284808
MSU	TU6474_ORF_2	671	+	1	436	549	114	0.5198	0.117712811	0.019527559
MSU	TU6475_ORF_1	719	+	1	436	597	162	0.5736	0.085307631	0.030233324
MSU	TU6475_ORF_2	719	+	2	578	718	141	0.9284	0.022651128	0.062385409
MSU	TU6463_ORF_1	1162	+	2	989	1135	147	0.4506	-1.039311744	0.00069083
MSU	TU6463_ORF_2	1162	+	3	873	992	120	0.5395	-0.218748824	0.005104215
MSU	TU6463_ORF_3	1162	+	2	767	883	117	0.9182	-0.676731514	0.005324306
MSU	TU6463_ORF_4	1162	+	3	39	137	99	0.7595	-0.371282384	0.005789555
MSU	TU6464_ORF_1	1552	+	2	710	877	168	0.47	-0.657081599	0.001304638
MSU	TU6464_ORF_2	1552	+	2	1379	1525	147	0.4506	-1.039311744	0.000408178
MSU	TU6464_ORF_3	1552	+	1	748	873	126	0.5093	-0.093255816	0.003919139
MSU	TU6464_ORF_4	1552	+	3	1263	1382	120	0.5395	-0.218748824	0.00302129
MSU	TU6464_ORF_5	1552	+	2	1157	1273	117	0.9182	-0.676731514	0.003151851
MSU	TU6556_ORF_1	5339	+	1	3523	3885	363	0.6853	-0.322089579	0.000191701
MSU	TU6556_ORF_2	5339	+	1	3034	3345	312	0.5327	-0.073355304	0.000138511
MSU	TU6556_ORF_3	5339	+	2	3740	4036	297	0.7142	-0.275925428	0.000130571
MSU	TU6556_ORF_4	5339	+	3	2898	3176	279	1.0106	0.00016178	0.000538566
MSU	TU6556_ORF_5	5339	+	3	1197	1448	252	0.6027	-0.250902231	6.60E-05
