target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2212.06	24.3333	0.35895
Nep3-PB	2361	2212.06	24.3333	0.35895
Nep3-PC	2361	2212.06	24.3333	0.35895
CG9570-PA	633	484.063	0	0
Or19b-PA	1164	1015.06	0	0
CG15322-PB	2223	2074.06	1	0.0157328
CG15322-PC	2223	2074.06	1	0.0157328
Or19a-PB	1164	1015.06	0	0
karr-PA	294	148.435	0	0
fd19B-PA	783	634.063	0	0
CG17003-PA	864	715.063	0	0
CG12655-PA	468	319.128	4	0.409001
CG33217-PA	2100	1951.06	20	0.334494
Vps11-PA	2493	2344.06	40	0.556827
RpL10-PC	657	508.063	2218.67	142.496
RpL10-PD	657	508.063	2218.67	142.496
RpL10-PE	657	508.063	2218.67	142.496
G9a-PA	4914	4765.06	141.161	0.966665
G9a-PB	4974	4825.06	59.8388	0.404678
cin-PB	1806	1657.06	89	1.75259
cin-PA	1806	1657.06	89	1.75259
CG3777-PB	2640	2491.06	0.2	0.00261984
CG3777-PA	2640	2491.06	0.2	0.00261984
CG3777-PC	2640	2491.06	0.2	0.00261984
CG3777-PD	2640	2491.06	0.2	0.00261984
CG3777-PE	2640	2491.06	0.2	0.00261984
CG12470-PA	588	439.063	0	0
Or1a-PA	1179	1030.06	0	0
y-PA	1626	1477.06	0	0
ac-PA	606	457.063	0	0
sc-PA	1038	889.063	0	0
l(1)sc-PA	774	625.063	0	0
ase-PA	1461	1312.06	0	0
CG13373-PA	375	226.776	0.0100185	0.00144156
CG13373-PB	534	385.063	16.99	1.43976
CG32817-PA	366	217.976	0	0
CG32817-PC	366	217.976	0	0
CG32817-PB	366	217.976	0	0
CG3176-PA	366	217.976	0	0
CG3176-PB	306	159.81	0	0
CG3176-PC	306	159.81	0	0
CG3176-PD	366	217.976	0	0
CG3156-PA	2079	1930.06	22	0.371947
CG17778-PA	384	235.66	1.5	0.207699
CG17778-PB	384	235.66	1.5	0.207699
arg-PA	1056	907.063	9	0.323768
CG17896-PB	1563	1414.06	500	11.538
CG17896-PA	1536	1387.06	0	0
CG18273-PA	4134	3985.06	117	0.958032
Cyp4g1-PA	1671	1522.06	1	0.0214386
Pgcl-PA	1224	1075.06	0	0
CG32816-PB	1137	988.063	0.5	0.0165126
CG32816-PA	1137	988.063	0.5	0.0165126
CG32816-PC	882	733.063	0	0
CG32816-PD	882	733.063	0	0
CG32816-PE	1137	988.063	0.5	0.0165126
CG32816-PF	1137	988.063	0.5	0.0165126
CG13375-PA	921	772.063	0	0
CG13375-PB	921	772.063	0	0
CG13375-PC	834	685.063	0	0
CG3038-PB	1077	928.063	5.37637	0.189035
CG3038-PA	1167	1018.06	22.6236	0.725132
CG3038-PC	1080	931.063	0	0
Appl-PA	2664	2515.06	0	0
Appl-PB	2673	2524.06	0	0
Appl-PC	2493	2344.06	13	0.180969
Appl-PD	2667	2518.06	0	0
Appl-PE	2652	2503.06	0	0
Appl-PF	2667	2518.06	0	0
CG13369-PA	915	766.063	432	18.4013
CG17829-PA	1404	1255.06	32.5	0.844981
CG17829-PC	1347	1198.06	0	0
CG17829-PB	1404	1255.06	32.5	0.844981
Mybbp1A-PA	3402	3253.06	252	2.52777
su(sable)-PA	3978	3829.06	627.172	5.3447
su(sable)-PB	3966	3817.06	16.6568	0.142394
su(sable)-PC	3978	3829.06	627.172	5.3447
CG13367-PA	1227	1078.06	92	2.78467
Roc1a-PC	411	262.439	2.19188	0.272532
Roc1a-PA	327	179.759	443.904	80.5799
Roc1a-PD	327	179.759	443.904	80.5799
CG5254-PA	921	772.063	22.3786	0.945824
CG5254-PB	714	565.063	17.6214	1.01759
CG5273-PA	1410	1261.06	22.3333	0.577891
CG5273-PC	1410	1261.06	22.3333	0.577891
CG5273-PB	1410	1261.06	22.3333	0.577891
fz3-PA	1746	1597.06	166.81	3.40823
fz3-PB	1941	1792.06	3.38064	0.0615567
fz3-PC	1746	1597.06	166.81	3.40823
CG16989-PC	3138	2989.06	115	1.25543
