Query_gene_ID	status
G229	confirmed
G396	confirmed
G828	confirmed
G1236	confirmed
G1257	confirmed
G1263	confirmed
G1268	confirmed
G1353	confirmed
G1424	confirmed
G1453	confirmed
G1454	confirmed
G1614	confirmed
G1612	confirmed
G1720	confirmed
G1721	confirmed
G1724	confirmed
G1769	confirmed
G1995	confirmed
G2028	confirmed
G2373	confirmed
G2371	confirmed
G2582	confirmed
G2628	confirmed
G2630	confirmed
G2787	confirmed
G2987	confirmed
G3113	confirmed
G3265	confirmed
G3298	confirmed
G3510	confirmed
G3710	confirmed
G3716	confirmed
G3660	confirmed
G3678	confirmed
G3740	confirmed
G3834	confirmed
G4139	confirmed
G4151	confirmed
G4283	confirmed
G4450	confirmed
G5298	confirmed
G5515	confirmed
G5566	confirmed
G5584	confirmed
G5698	confirmed
G5776	confirmed
G5907	confirmed
G5916	confirmed
G5968	confirmed
G6041	confirmed
G6049	confirmed
G6089	confirmed
G6346	confirmed
G6712	confirmed
G6725	confirmed
G6988	confirmed
G7024	confirmed
G7216	confirmed
G8473	confirmed
G8471	confirmed
G8257	confirmed
G8234	confirmed
G8151	confirmed
G8144	confirmed
G8096	confirmed
G8023	confirmed
G7922	confirmed
G7889	confirmed
G7846	confirmed
G7783	confirmed
G8600	confirmed
G8601	confirmed
G9002	confirmed
G9042	confirmed
G9080	confirmed
G9250	confirmed
G9252	confirmed
G9260	confirmed
G9445	confirmed
G9480	confirmed
G9490	confirmed
G9500	confirmed
G9501	confirmed
G9834	confirmed
G10219	confirmed
G10306	confirmed
G10501	confirmed
G10686	confirmed
G10904	confirmed
G11129	confirmed
G11140	confirmed
G11142	confirmed
G11168	confirmed
G8264	confirmed
G2352	confirmed
G2356	confirmed
G2358	confirmed
G3133	confirmed
G3134	confirmed
G7060	confirmed
G7061	confirmed
G6709	confirmed
G5888	confirmed
G5889	confirmed
G11227	confirmed
G11228	confirmed
G2893	confirmed
G5122	confirmed
G2496	confirmed
G6816	confirmed
G6800	confirmed
G2306	N
G4685	N
G6856	N
G6857	N
G2254	confirmed
G6887	N
G6890	N
G6906	N
